token	corpus size	all contexts size	frequency	co-frequency	specificity
współczesnej	9725	9625	6	6	0.03
zły	9725	9625	6	6	0.03
popełniony	9725	9625	6	6	0.03
rodzaju	9725	9625	6	6	0.03
4	9725	9625	6	6	0.03
były	9725	9625	6	6	0.03
nasze	9725	9625	6	6	0.03
obrazy	9725	9625	6	6	0.03
jednostki	9725	9625	6	6	0.03
osoby	9725	9625	6	6	0.03
zło	9725	9625	5	5	0.02
pychy	9725	9625	5	5	0.02
natury	9725	9625	5	5	0.02
tam	9725	9625	5	5	0.02
woli	9725	9625	5	5	0.02
brak	9725	9625	5	5	0.02
swoich	9725	9625	5	5	0.02
nigdy	9725	9625	5	5	0.02
pytanie	9725	9625	5	5	0.02
musi	9725	9625	5	5	0.02
często	9725	9625	5	5	0.02
lekkiego	9725	9625	5	5	0.02
wielu	9725	9625	5	5	0.02
prawa	9725	9625	5	5	0.02
Katolickiego	9725	9625	5	5	0.02
taki	9725	9625	5	5	0.02
śmierci	9725	9625	5	5	0.02
pełnej	9725	9625	5	5	0.02
wskazuje	9725	9625	5	5	0.02
ocena	9725	9625	5	5	0.02
wymaga	9725	9625	5	5	0.02
pycha	9725	9625	5	5	0.02
prowadzi	9725	9625	5	5	0.02
konsekwencji	9725	9625	5	5	0.02
Bogiem	9725	9625	5	5	0.02
walki	9725	9625	5	5	0.02
przypadku	9725	9625	5	5	0.02
śmiertelnych	9725	9625	5	5	0.02
którzy	9725	9625	5	5	0.02
powszednie	9725	9625	5	5	0.02
spowiedź	9725	9625	5	5	0.02
Dlaczego	9725	9625	5	5	0.02
najbardziej	9725	9625	5	5	0.02
aby	9725	9625	5	5	0.02
całą	9725	9625	5	5	0.02
popełnione	9725	9625	5	5	0.02
Tokarczuk	9725	9625	5	5	0.02
wobec	9725	9625	5	5	0.02
ponieważ	9725	9625	5	5	0.02
Biblia	9725	9625	5	5	0.02
powodu	9725	9625	5	5	0.02
bywa	9725	9625	5	5	0.02
Obrazy	9725	9625	5	5	0.02
jeżeli	9725	9625	5	5	0.02
bowiem	9725	9625	5	5	0.02
pomstę	9725	9625	5	5	0.02
działanie	9725	9625	5	5	0.02
odnosi	9725	9625	5	5	0.02
chrześcijańskiej	9725	9625	5	5	0.02
świata	9725	9625	5	5	0.02
odpowiedzialności	9725	9625	5	5	0.02
kar	9725	9625	5	5	0.02
pierworodnym	9725	9625	5	5	0.02
analogicznym	9725	9625	5	5	0.02
kondycję	9725	9625	5	5	0.02
którym	9725	9625	4	4	0.02
ludzi	9725	9625	4	4	0.02
ciała	9725	9625	4	4	0.02
zrobić	9725	9625	4	4	0.02
7	9725	9625	4	4	0.02
PiS	9725	9625	4	4	0.02
śmiertelnym	9725	9625	4	4	0.02
społeczny	9725	9625	4	4	0.02
popełnionych	9725	9625	4	4	0.02
swoje	9725	9625	4	4	0.02
dlatego	9725	9625	4	4	0.02
czyni	9725	9625	4	4	0.02
znaczenia	9725	9625	4	4	0.02
słabości	9725	9625	4	4	0.02
było	9725	9625	4	4	0.02
alternate	9725	9625	4	4	0.02
Z	9725	9625	4	4	0.02
takie	9725	9625	4	4	0.02
ludzkiego	9725	9625	4	4	0.02
powieść	9725	9625	4	4	0.02
teraz	9725	9625	4	4	0.02
właśnie	9725	9625	4	4	0.02
przecież	9725	9625	4	4	0.02
wszystkie	9725	9625	4	4	0.02
cnota	9725	9625	4	4	0.02
takiego	9725	9625	4	4	0.02
dobrowolne	9725	9625	4	4	0.02
przekroczenie	9725	9625	4	4	0.02
rozróżnienie	9725	9625	4	4	0.02
sprowadza	9725	9625	4	4	0.02
nazywany	9725	9625	4	4	0.02
niszczy	9725	9625	4	4	0.02
II	9725	9625	4	4	0.02
chciwość	9725	9625	4	4	0.02
żalu	9725	9625	4	4	0.02
przy	9725	9625	4	4	0.02
lekkie	9725	9625	4	4	0.02
każdym	9725	9625	4	4	0.02
swoim	9725	9625	4	4	0.02
jednego	9725	9625	4	4	0.02
podczas	9725	9625	4	4	0.02
ciężar	9725	9625	4	4	0.02
walka	9725	9625	4	4	0.02
sobą	9725	9625	4	4	0.02
staje	9725	9625	4	4	0.02
osłabia	9725	9625	4	4	0.02
Choć	9725	9625	4	4	0.02
oddziela	9725	9625	4	4	0.02
inne	9725	9625	4	4	0.02
związany	9725	9625	4	4	0.02
część	9725	9625	4	4	0.02
tyle	9725	9625	4	4	0.02
której	9725	9625	4	4	0.02
względu	9725	9625	4	4	0.02
popełnia	9725	9625	4	4	0.02
osoba	9725	9625	4	4	0.02
winy	9725	9625	4	4	0.02
nam	9725	9625	4	4	0.02
Raj	9725	9625	4	4	0.02
został	9725	9625	4	4	0.02
Adama	9725	9625	4	4	0.02
Dziejach	9725	9625	4	4	0.02
gdyby	9725	9625	4	4	0.02
prawo	9725	9625	4	4	0.02
kary	9725	9625	4	4	0.02
cudzołóstwa	9725	9625	4	4	0.02
jednym	9725	9625	4	4	0.02
nieba	9725	9625	4	4	0.02
swój	9725	9625	4	4	0.02
stan	9725	9625	4	4	0.02
Według	9725	9625	4	4	0.02
cały	9725	9625	4	4	0.02
jedynie	9725	9625	4	4	0.02
III	9725	9625	4	4	0.02
łaski	9725	9625	4	4	0.02
prawdy	9725	9625	4	4	0.02
wynika	9725	9625	4	4	0.02
postaci	9725	9625	4	4	0.02
kulturowe	9725	9625	4	4	0.02
całego	9725	9625	4	4	0.02
brzydki	9725	9625	4	4	0.02
L	9725	9625	4	4	0.02
SJPDor	9725	9625	4	4	0.02
grzechowi	9725	9625	4	4	0.02
duszy	9725	9625	4	4	0.02
Miłość	9725	9625	4	4	0.02
nowych	9725	9625	4	4	0.02
obrazowania	9725	9625	4	4	0.02
Konrada	9725	9625	4	4	0.02
ani	9725	9625	4	4	0.02
członków	9725	9625	4	4	0.02
oddziaływania	9725	9625	4	4	0.02
platoniczna	9725	9625	4	4	0.02
których	9725	9625	3	3	0.01
sprawy	9725	9625	3	3	0.01
będą	9725	9625	3	3	0.01
Oto	9725	9625	3	3	0.01
obecne	9725	9625	3	3	0.01
leży	9725	9625	3	3	0.01
moich	9725	9625	3	3	0.01
właściwe	9725	9625	3	3	0.01
Mówią	9725	9625	3	3	0.01
jeszcze	9725	9625	3	3	0.01
gdzie	9725	9625	3	3	0.01
czymś	9725	9625	3	3	0.01
innym	9725	9625	3	3	0.01
mimo	9725	9625	3	3	0.01
trzeba	9725	9625	3	3	0.01
Lecz	9725	9625	3	3	0.01
mu	9725	9625	3	3	0.01
trzeci	9725	9625	3	3	0.01
Harry	9725	9625	3	3	0.01
katolickiego	9725	9625	3	3	0.01
Kanał	9725	9625	3	3	0.01
żeby	9725	9625	3	3	0.01
wieki	9725	9625	3	3	0.01
one	9725	9625	3	3	0.01
Żeromski	9725	9625	3	3	0.01
Ewa	9725	9625	3	3	0.01
mogła	9725	9625	3	3	0.01
religijnych	9725	9625	3	3	0.01
dzieci	9725	9625	3	3	0.01
rozpacz	9725	9625	3	3	0.01
stanowi	9725	9625	3	3	0.01
znaczenie	9725	9625	3	3	0.01
jeden	9725	9625	3	3	0.01
bardzo	9725	9625	3	3	0.01
elementem	9725	9625	3	3	0.01
Kto	9725	9625	3	3	0.01
rodzaje	9725	9625	3	3	0.01
świadome	9725	9625	3	3	0.01
wyjaśnia	9725	9625	3	3	0.01
sercu	9725	9625	3	3	0.01
muszą	9725	9625	3	3	0.01
jednocześnie	9725	9625	3	3	0.01
trzy	9725	9625	3	3	0.01
popełnieniu	9725	9625	3	3	0.01
całkowicie	9725	9625	3	3	0.01
dany	9725	9625	3	3	0.01
listy	9725	9625	3	3	0.01
ciężkich	9725	9625	3	3	0.01
przykłady	9725	9625	3	3	0.01
miłości	9725	9625	3	3	0.01
trzech	9725	9625	3	3	0.01
materii	9725	9625	3	3	0.01
poważnej	9725	9625	3	3	0.01
nieczystość	9725	9625	3	3	0.01
śmiertelnymi	9725	9625	3	3	0.01
wątpliwości	9725	9625	3	3	0.01
poważnych	9725	9625	3	3	0.01
duchowych	9725	9625	3	3	0.01
wieczne	9725	9625	3	3	0.01
oddzielenie	9725	9625	3	3	0.01
całej	9725	9625	3	3	0.01
zrywa	9725	9625	3	3	0.01
dotyczy	9725	9625	3	3	0.01
nauczaniu	9725	9625	3	3	0.01
Ten	9725	9625	3	3	0.01
wyznać	9725	9625	3	3	0.01
wzbudzić	9725	9625	3	3	0.01
pokuty	9725	9625	3	3	0.01
naucza	9725	9625	3	3	0.01
spowodował	9725	9625	3	3	0.01
bliźniemu	9725	9625	3	3	0.01
przekonanie	9725	9625	3	3	0.01
fundamentalne	9725	9625	3	3	0.01
życie	9725	9625	3	3	0.01
coraz	9725	9625	3	3	0.01
obiektywnie	9725	9625	3	3	0.01
niż	9725	9625	3	3	0.01
Podobnie	9725	9625	3	3	0.01
powinno	9725	9625	3	3	0.01
przynosi	9725	9625	3	3	0.01
topos	9725	9625	3	3	0.01
życiu	9725	9625	3	3	0.01
różne	9725	9625	3	3	0.01
osobistym	9725	9625	3	3	0.01
szatana	9725	9625	3	3	0.01
kara	9725	9625	3	3	0.01
Jezus	9725	9625	3	3	0.01
przedstawić	9725	9625	3	3	0.01
Siedem	9725	9625	3	3	0.01
odpuszczenia	9725	9625	3	3	0.01
wolności	9725	9625	3	3	0.01
nienawiść	9725	9625	3	3	0.01
Ty	9725	9625	3	3	0.01
Na	9725	9625	3	3	0.01
niego	9725	9625	3	3	0.01
On	9725	9625	3	3	0.01
samego	9725	9625	3	3	0.01
ku	9725	9625	3	3	0.01
Bogu	9725	9625	3	3	0.01
społeczne	9725	9625	3	3	0.01
uważany	9725	9625	3	3	0.01
wciąż	9725	9625	3	3	0.01
XXI	9725	9625	3	3	0.01
nadal	9725	9625	3	3	0.01
Brueghel	9725	9625	3	3	0.01
Peter	9725	9625	3	3	0.01
Paul	9725	9625	3	3	0.01
wtedy	9725	9625	3	3	0.01
powiedzieć	9725	9625	3	3	0.01
czym	9725	9625	3	3	0.01
popełnił	9725	9625	3	3	0.01
mamy	9725	9625	3	3	0.01
nowego	9725	9625	3	3	0.01
kategorii	9725	9625	3	3	0.01
nieczystego	9725	9625	3	3	0.01
walczyć	9725	9625	3	3	0.01
kiedy	9725	9625	3	3	0.01
nieczystym	9725	9625	3	3	0.01
nieczystych	9725	9625	3	3	0.01
pewnego	9725	9625	3	3	0.01
skutki	9725	9625	3	3	0.01
gatunkowy	9725	9625	3	3	0.01
poznać	9725	9625	3	3	0.01
nr	9725	9625	3	3	0.01
sytuacji	9725	9625	3	3	0.01
np	9725	9625	3	3	0.01
sodomski	9725	9625	3	3	0.01
któremu	9725	9625	3	3	0.01
Zbawienie	9725	9625	3	3	0.01
zazwyczaj	9725	9625	3	3	0.01
nazywa	9725	9625	3	3	0.01
