     10 w	końcu
      9 pojawia	się
      9 materiału	w
      8 znajdują	się
      8 w	tym
      8 i	wergiliusz
      8 dante	i
      7 dante	spotyka
      7 a	więc
      6 się	w
      6 podobnie	jak
      5 znajduje	się
      5 tych	którzy
      5 razem	z
      5 dante	ma
      4 zgodnie	z
      4 w	kręgu
      4 we	florencji
      4 się	z
      4 się	na
      4 się	do
      4 dla	niego
      3 z	wergiliuszem
      3 z	regulaminem
      3 zostały	przygotowane
