      5 j	ai
      4 au	hasard
      4 art	et
      3 te	veux
      3 sombre	et
      3 solitaire	sombre
      3 pêché	dans
      3 lieu	solitaire
      3 je	te
      3 et	poésie
      3 et	muet
      3 dans	le
      3 dans	ce
      3 ce	lieu
      3 amavero	art
      3 ai	pêché
      2 with	a
      2 white	letter
      2 veux	toi
      2 une	blouse
      2 un	commentaire
      2 the	center
      2 ses	yeux
      2 regardant	directement
      2 red	background
