     21 し	て
     18 て	いる
     14 自分	の
     12 school	of
     12 of	life
     11 こと	が
     10 に	なる
     10 と	いう
     10 て	い
      9 人	は
      8 の	は
      8 と	し
      8 つ	の
      8 か	も
      7 も	しれ
      7 な	の
      7 the	school
      7 image	bythe
      7 bythe	school
      6 自分	自身
      6 人	に
      6 ませ	ん
      6 は	自分
      6 の	で
      6 に	ある
