     41 la	secte
     29 de	la
     28 secte	moon
     15 de	l
      9 du	pld
      9 à	la
      9 à	l
      7 que	la
      7 moon	a
      7 l	église
      7 d	une
      6 qui	ont
      6 pour	la
      6 au	japon
      5 premier	ministre
      5 péché	originel
      5 par	la
      5 et	les
      5 dans	les
      5 au	pouvoir
      4 sur	la
      4 s	est
      4 qu	elle
      4 que	les
      4 par	le
