     23 よろず	ニュース
     22 ニュース	編集部
     17 編集部	よろず
      6 カキ	カキ
      4 顎	の
      4 し	て
      3 骨	が
      3 株式	会社
      3 折れ	ちゃっ
      3 回	の
      3 七	つ
      3 や	ワッフル
      3 ませ	ん
      3 の	骨
      3 の	製造
      3 の	清掃
      3 の	手術
      3 の	大罪
      3 に	は
      3 つ	の
      3 ちゃっ	た
      3 が	折れ
      3 2	回
      2 高木	は
      2 製菓	株式
