     11 się	w
      8 się	z
      8 11	grudnia
      6 się	na
      6 grudnia	1930
      5 w	sobie
      5 się	do
      5 przede	wszystkim
      5 parę	lat
      5 o	tym
      5 nie	jest
      5 lat	trzydziestych
      5 dla	mnie
      5 1931	roku
      4 z	iwaszkiewiczem
      4 że	to
      4 w	wilnie
      4 w	tym
      4 w	nim
      4 tym	że
      4 roku	myśliwego
      4 młody	miłosz
      4 jest	dla
      4 i	to
      4 do	wilna
