     33 joe	biden
     18 donald	trump
     17 de	joe
     16 de	l
     13 d	un
     12 la	publicité
     11 passer	la
     11 de	la
     10 de	son
      9 le	figaro
      8 santé	de
      8 président	américain
      8 l	état
      8 à	la
      7 sur	le
      7 le	déclin
      7 du	président
      7 d	une
      7 ce	que
      6 que	le
      6 le	président
      6 george	clooney
      6 état	de
      6 de	santé
      5 sur	la
