    177 przypis	edytorski
    124 1	2
     86 2	3
     65 3	4
     54 ks	piotr
     43 4	5
     32 5	6
     21 i	w
     21 6	7
     19 jak	w
     17 się	i
     17 i	nie
     16 się	w
     16 7	8
     15 to	jest
     14 co	za
     13 się	z
     13 się	do
     13 patrz	jak
     12 się	że
     12 nie	ma
     12 co	to
     11 się	nie
     11 się	na
     11 p	rollisonowa
