      8 qui	a
      8 celui	qui
      6 ou	l
      5 stockage	ou
      5 le	stockage
      5 l	accès
      5 bloc	patriotique
      5 accès	technique
      4 sur	celui
      4 s	appuyer
      4 profité	du
      4 pour	combattre
      4 peut	pas
      4 péché	pour
      4 pas	s
      4 on	ne
      4 ne	peut
      4 le	péché
      4 du	péché
      4 d	une
      4 de	la
      4 commis	le
      4 combattre	celui
      4 c	est
      4 a	profité
