     10 caŁy	przedmiot
      3 xx	wiek
      3 jana	kasprowicza
      3 ekstraklasa	bryka
      3 co	jest
      3 a	co
      2 z	brykiem
      2 zadaj	pytanie
      2 wojna	światowa
      2 sun	04
      2 robi	coś
      2 prace	przekrojowe
      2 nie	możemy
      2 my	możemy
      2 kasprowicza	dies
      2 karmel	ekstraklasa
      2 jest	dobrem
      2 jan	2026
      2 ekologia	caŁy
      2 dobrem	a
      2 dies	irae
      2 człowiek	botanika
      2 co	złem
      2 brykiem	o
      2 27	pkt
