      9 de	dieu
      8 jean	de
      8 j	ai
      8 du	peuple
      8 de	la
      7 une	partie
      7 partie	du
      7 mar	2020
      7 dieu	momo
      6 que	j
      6 peuple	croit
      6 croit	que
      6 2020	à
      6 17	mar
      5 trahi	ma
      5 son	parti
      5 qu	il
      5 ma	tribu
      5 de	son
      5 à	sa
      5 ai	trahi
      4 parti	une
      4 militants	de
      4 il	a
      4 dit	17
