     27 と	いう
     22 し	て
     21 で	は
     14 と	し
     11 て	き
     11 て	いる
     11 あり	ます
     10 まし	た
      9 の	大罪
      9 で	も
      8 な	の
      8 て	い
      8 つ	の
      8 さ	れ
      7 れ	て
      7 よう	に
      7 の	で
      7 の	が
      7 な	と
      7 ない	と
      7 いう	の
      6 れ	つつ
      6 よ	ね
      6 よう	な
      6 みたい	な
