      7 a	dit
      5 si	il
      4 grands	péchés
      4 celui	qui
      3 صلى	الله
      3 الله	عليه
      3 sur	lui
      3 son	salut
      3 soient	sur
      3 salut	soient
      3 que	la
      3 prophète	que
      3 prière	dallah
      3 même	si
      3 lui	a
      3 le	prophète
      3 la	prière
      3 il	est
      3 et	son
      3 dit	dans
      3 des	grands
      3 dans	son
      3 dallah	et
      2 و	صححه
      2 وَإِنْ	سَرَقَ
