     17 péchés	capitaux
     15 à	la
     14 de	la
     13 7	péchés
     12 reaa	o
     12 degré	reaa
     10 le	symbolisme
     10 la	spiritualité
      9 l	avarice
      8 l	orgueil
      8 les	7
      8 et	de
      8 de	l
      7 dans	la
      7 à	l
      6 thomas	d
      6 les	péchés
      6 l	envie
      6 est	un
      6 en	spiritualité
      6 différence	entre
      6 d	aquin
      6 c	est
      5 symbolisme	de
      5 saint	thomas
