     15 七	つ
     15 の	大罪
     15 つ	の
     12 原	神
      8 大罪	origin
      8 と	の
      6 最新	トレーラー
      6 姿	が
      6 ら	3
      6 1	月
      5 食べ	ログ
      5 ログ	明治
      5 の	最新
      5 オープン	ワールド
      5 ps	5
      4 順次	開催
      4 謎	に
      4 続々	食べ
      4 神	で
      4 神	luna
      4 社	と
      4 発売	の
      4 月	中旬
      4 明治	ファミリー
      4 新た	な
