     10 w	latach
     10 przede	wszystkim
     10 caŁy	przedmiot
      9 się	w
      8 się	z
      7 w	tym
      7 powstania	styczniowego
      6 w	warszawie
      6 u	podstaw
      6 się	do
      5 w	pozytywizmie
      5 w	którym
      5 pracy	u
      5 nad	niemnem
      4 stał	się
      4 się	na
      4 pracy	organicznej
      4 powstanie	styczniowe
      4 podobnie	jak
      4 nie	jest
      3 xx	wiek
      3 w	powieści
      3 w	polsce
      3 w	której
      3 tej	pory
