     10 plus	grand
      6 le	plus
      6 grand	péché
      4 est	le
      4 de	dieu
      3 plus	grave
      3 péché	mais
      3 la	bible
      3 de	péché
      3 celui	qui
      3 bible	détude
      2 tous	les
      2 sévèrement	que
      2 seront	punis
      2 sept	péchés
      2 qui	rejettent
      2 quil	est
      2 quel	est
      2 que	les
      2 que	dieu
      2 que	celui
      2 punis	plus
      2 plus	sévèrement
      2 péché	impardonnable
      2 pas	le
