     20 し	て
     15 です	ね
     14 の	大罪
     14 つ	の
     13 七	つ
     12 て	いる
     11 と	いう
     11 て	い
      9 ませ	ん
      8 挿絵	1
      8 プレイ	日記
      8 の	で
      8 な	ん
      8 ない	の
      8 て	も
      7 レトロ	ゲーム
      7 も	しれ
      7 の	プレイ
      7 の	は
      7 で	も
      7 こと	は
      7 か	も
      6 人	は
      6 ん	です
      6 で	は
