     11 alternate	alternate
     10 les	péchés
     10 le	péché
      6 tous	les
      5 péché	grave
      5 n	est
      5 l	on
      5 la	foi
      4 un	péché
      4 que	l
      4 péchés	par
      4 péchés	ne
      4 péché	mortel
      4 de	la
      4 à	la
      3 y	a
      3 sont	pas
      3 sont	les
      3 ne	sont
      3 mais	aussi
      3 le	plus
      3 est	pas
      3 doit	être
      2 ton	cœur
      2 racine	de
