     11 de	la
      8 le	pen
      6 de	ses
      4 synthèse	nationale
      4 qu	il
      4 marine	le
      4 la	revue
      4 jeanmarie	le
      4 elle	s
      4 de	son
      4 c	est
      3 son	parti
      3 s	est
      3 gauche	et
      3 et	de
      3 de	sa
      3 de	l
      3 dans	l
      3 à	son
      3 a	été
      2 y	a
      2 this	site
      2 synthÈse	nationale
      2 syndicate	this
      2 sur	le
