     13 天照	大御神
     12 と	いう
      9 天	の
      9 し	た
      8 スサノオ	の
      8 し	て
      7 以	音
      6 田	の
      6 字	以
      6 の	心
      6 で	は
      6 て	い
      6 で	ある
      6 あり	ます
      5 須佐之男	命
      5 私	の
      5 溝	を
      5 勝ち	さび
      5 の	勝ち
      5 の	よう
      5 と	あり
      5 こと	を
      5 いう	意味
      4 速	須佐之男
      4 見	て
