      3 le	parisien
      3 de	jeunesse
      2 sun	04
      2 sciences	po
      2 sa	campagne
      2 pour	la
      2 péché	de
      2 le	23
      2 janvier	2026
      2 jan	2026
      2 avril	2019
      2 à	la
      2 23	avril
      2 2019	à
      2 04	jan
      1 vu	découvrir
      1 vote	et
      1 voilà	encore
      1 vingt	ans
      1 urnes	la
      1 un	prix
      1 un	monde
      1 un	mois
      1 une	polémique
      1 une	liste
