      2 3	d
      1 wz	6
      1 wpgbme	0
      1 wgq	3
      1 type	text
      1 to	wz
      1 to	continue
      1 text	html
      1 sun	04
      1 report	to
      1 r	2
      1 policy	geolocation
      1 permissions	policy
      1 microph	gmt
      1 magnetometer	microph
      1 ma	7
      1 javascript	and
      1 jan	2026
      1 interest	cohort
      1 http	2
      1 html	permissions
      1 hid	interest
      1 gyroscope	hid
      1 grou	enable
      1 gp	9
