      9 de	la
      8 gérald	darmanin
      8 de	loi
      7 projet	de
      6 l	arrogance
      6 déc	2025
      6 4	min
      5 son	projet
      5 s	est
      5 plus	tard
      5 loi	immigration
      5 il	a
      5 et	de
      5 de	l
      5 décembre	2023
      5 déc	2023
      5 c	est
      5 à	lassemblée
      5 2023	4
      4 sans	doute
      4 qu	il
      4 le	billet
      4 lassemblée	nationale
      4 france	culture
      4 emmanuel	macron
