     13 de	la
     11 le	libéralisme
      9 à	un
      8 de	les
      6 les	libéraux
      6 il	faut
      6 et	de
      6 ce	qui
      5 qui	leur
      5 leur	est
      5 la	charité
      5 du	libéralisme
      5 de	ce
      5 ce	livre
      4 y	salvany
      4 un	parti
      4 un	journal
      4 que	lon
      4 parti	libéral
      4 ne	sont
      4 libéralisme	est
      4 la	liberté
      4 journal	libéral
      4 et	les
      4 et	le
