     20 て	いる
     19 つ	罪
     19 し	て
     13 さ	れる
     12 れ	て
     12 で	ある
     12 さ	れ
     11 と	さ
     10 国	つ
      9 天	つ
      9 に	は
      8 日本	書紀
      8 と	し
      8 こと	と
      7 罪	国
      7 書紀	に
      6 説	も
      6 罪	は
      6 大	祓詞
      6 も	ある
      6 の	説
      6 の	災
      6 と	の
      6 で	は
      6 て	い
