     21 j	aimej
     21 avatar	de
     21 aime	réponse
     21 aimej	aime
     18 mai	2017
     17 du	mensonge
     14 observatoire	du
     13 21	mai
     10 de	la
     10 c	est
      9 péchés	capitaux
      9 1	avatar
      8 une	opposition
      8 réponse	1
      8 pour	une
      8 opposition	constructive
      8 les	7
      8 en	politique
      7 capitaux	en
      7 7	péchés
      6 negelman	negelman
      6 l	orgueil
      6 la	france
      6 de	negelman
      5 un	monde
