     47 ギリシャ	神話
     44 ん	です
     43 し	て
     42 神話	の
     26 て	い
     25 で	も
     24 た	ん
     23 で	は
     22 と	し
     20 まし	た
     20 と	いう
     19 神々	の
     18 です	ね
     17 神話	と
     17 て	いる
     17 だっ	た
     15 神話	は
     15 の	違い
     15 た	の
     14 て	いき
     14 つ	の
     14 この	ページ
     14 い	た
     13 理解	する
     13 深	掘り
