      2 8	b
      1 ynsjhkbx	60
      1 x	0
      1 type	text
      1 ts	77
      1 to	continue
      1 to	8
      1 timing	tes
      1 text	html
      1 tes	0
      1 sun	04
      1 soj	9
      1 server	timing
      1 rqvpydjtwdvduym	80
      1 rjychzmimjeipn	2
      1 report	to
      1 qkx	2
      1 q	6
      1 policy	geolocation
      1 permissions	policy
      1 nel	max
      1 microph	gmt
      1 max	server
      1 magnetometer	microph
      1 kjg	68
